"Category","City","Container","Customer_ID","Customer_Name","Customer_Segment","Department","Item","Order_Date","Order_ID","Order_Priority","Postal_Code","Region","Row_ID","Ship_Date","Ship_Mode","State","Discount","Gross_Profit_Ratio","Number_of_Records","Order_Quantity","Product_Base_Margin","Profit","Sales","Shipping_Cost","Unit_Price"
"Labels","Addison","Small Box","2","Janice Fletcher","Corporate","Office Supplies","Avery 49","5/28/12","88525","Not Specified","60101","Central","18606","5/30/12","Regular Air","Illinois","1.00","22.40","1","2","36.00","1","6","1","3"
"Pens  and  Art Supplies","Anacortes","Wrap Bag","3","Bonnie Potter","Corporate","Office Supplies","SANFORD Liquid Accent Tank-Style Highlighters","7/7/10","88522","High","98221","West","20847","7/8/10","Express Air","Washington","1.00","35.00","1","4","54.00","5","13","1","3"
"Paper","Anacortes","Small Box","3","Bonnie Potter","Corporate","Office Supplies","Xerox 1968","7/27/11","88523","Not Specified","98221","West","23086","7/28/11","Express Air","Washington","3.00","-95.40","1","7","37.00","48","50","6","7"
"Scissors, Rulers and Trimmers","Anacortes","Small Pack","3","Bonnie Potter","Corporate","Office Supplies","Acme Preferred Stainless Steel Scissors","7/27/11","88523","Not Specified","98221","West","23087","7/28/11","Regular Air","Washington","1.00","-73.30","1","7","56.00","31","42","4","6"
"Telephones and Communication","Anacortes","Small Box","3","Bonnie Potter","Corporate","Technology","V70","7/27/11","88523","Not Specified","98221","West","23088","7/27/11","Express Air","Washington","0.00","69.00","1","8","59.00","998","1447","3","206"
"Paper","Anacortes","Small Box","3","Bonnie Potter","Corporate","Office Supplies","Xerox 194","11/9/11","88524","Medium","98221","West","23597","11/11/11","Express Air","Washington","9.00","69.00","1","37","37.00","1388","2012","14","55"
"Office Machines","Anacortes","Jumbo Drum","3","Bonnie Potter","Corporate","Technology","Canon S750 Color Inkjet Printer","7/1/13","88526","Low","98221","West","25549","7/8/13","Delivery Truck","Washington","8.00","69.00","1","12","38.00","1001","1451","26","121"
"Chairs  and  Chairmats","San Gabriel","Jumbo Drum","5","Ronnie Proctor","Home Office","Furniture","Global Troy Executive Leather Low-Back Tilter","12/13/10","90193","Not Specified","91776","West","20228","12/15/10","Delivery Truck","California","2.00","69.00","1","12","60.00","4390","6363","26","501"
"Paper","San Gabriel","Small Box","5","Ronnie Proctor","Home Office","Office Supplies","Xerox 1930","5/12/12","90197","Low","91776","West","19483","5/21/12","Regular Air","California","8.00","-124.70","1","18","36.00","141","113","7","6"
"Appliances","San Jose","Small Box","6","Dwight Hwang","Home Office","Office Supplies","Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center","5/26/11","90194","High","95123","West","24782","5/26/11","Regular Air","California","1.00","69.00","1","16","56.00","1045","1515","1","90"
"Paper","San Jose","Small Box","6","Dwight Hwang","Home Office","Office Supplies","Xerox 21","12/29/12","90200","Critical","95123","West","24563","12/31/12","Regular Air","California","7.00","-48.40","1","4","37.00","14","29","7","6"
"Pens  and  Art Supplies","San Jose","Wrap Bag","6","Dwight Hwang","Home Office","Office Supplies","*Staples* Highlighting Markers","12/29/12","90200","Critical","95123","West","24564","12/31/12","Regular Air","California","1.00","69.00","1","17","52.00","58","83","1","5"
"Telephones and Communication","San Jose","Wrap Bag","6","Dwight Hwang","Home Office","Technology","Accessory34","12/29/12","90200","Critical","95123","West","24565","12/31/12","Regular Air","California","10.00","69.00","1","24","55.00","1177","1705","1","86"
"Paper","Fall River","Small Box","7","Leon Gill","Home Office","Office Supplies","Xerox 1933","10/30/12","90198","High","2724","East","21866","10/31/12","Regular Air","Massachusetts","5.00","31.30","1","19","38.00","73","233","5","12"
"Bookcases","Bedford","Jumbo Box","8","Melanie Garner","Home Office","Furniture","Sauder Forest Hills Library, Woodland Oak Finish","12/25/12","90199","Medium","3110","East","20876","12/26/12","Delivery Truck","New Hampshire","8.00","-22.50","1","5","77.00","159","705","36","141"
"Tables","Camden","Jumbo Box","9","Lorraine Houston","Home Office","Furniture","Riverside Furniture Stanwyck Manor Table Series","12/25/12","90199","Medium","8101","East","20877","12/27/12","Delivery Truck","New Jersey","10.00","-19.30","1","8","78.00","347","1794","62","287"
"Envelopes","Pennsauken","Small Box","10","Meredith Norris Thomas","Home Office","Office Supplies","Park Ridge Embossed Executive Business Envelopes","10/4/11","90195","Critical","8109","East","22241","10/5/11","Regular Air","New Jersey","6.00","69.00","1","14","38.00","143","207","1","16"
"Office Furnishings","Roselle","Small Pack","11","Marcus Dunlap","Home Office","Furniture","DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7","8/15/10","90192","Critical","7203","East","21776","8/17/10","Regular Air","New Jersey","6.00","-25.50","1","22","45.00","54","211","7","9"
"Scissors, Rulers and Trimmers","Cranston","Small Pack","12","Kara Pace","Home Office","Office Supplies","Fiskars Softgrip Scissors","2/24/12","90196","High","2907","East","23328","2/26/12","Regular Air","Rhode Island","4.00","25.60","1","8","57.00","23","90","3","11"
"Office Furnishings","Prior Lake","Small Box","14","Gwendolyn F Tyson","Small Business","Furniture","Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock","5/12/10","86838","Medium","55372","Central","24844","5/14/10","Regular Air","Minnesota","9.00","69.00","1","16","43.00","803","1164","20","79"
"Pens  and  Art Supplies","Prior Lake","Wrap Bag","14","Gwendolyn F Tyson","Small Business","Office Supplies","Newell 321","5/12/10","86838","Medium","55372","Central","24846","5/13/10","Regular Air","Minnesota","8.00","-108.10","1","7","56.00","24","22","2","3"
"Pens  and  Art Supplies","Prior Lake","Wrap Bag","14","Gwendolyn F Tyson","Small Business","Office Supplies","Newell 351","5/12/10","86838","Medium","55372","Central","24847","5/13/10","Regular Air","Minnesota","5.00","-264.70","1","4","56.00","37","14","4","3"
