Category,City,Container,Continent,Country Region,Customer Id,Customer Name,Customer Segment,Department,Item,Order Date,Order Id,Order Priority,Postal Code,Region,Row Id,Ship Date,Ship Mode,State,Discount,Number of Records,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
Bookcases,East Lansing,Jumbo Box,North America,United States of America,1976,Sherri F Vogel,Consumer,Furniture,"Hon Metal Bookcases, Putty",1/10/10,89039,Critical,48823,Central,130,1/11/10,Delivery Truck,Michigan,0.05,1,8,0.56,-851,552,47,71
Tables,Carmel,Jumbo Box,North America,United States of America,596,Doris Fitzpatrick,Consumer,Furniture,Bretford Just In Time Height-Adjustable Multi-Task Work Tables,2/15/10,86308,Critical,46032,Central,497,2/16/10,Delivery Truck,Indiana,0.07,1,12,0.79,-575,"4,911",75,417
Tables,Burnsville,Jumbo Box,North America,United States of America,2204,Oscar Ford,Consumer,Furniture,Hon 94000 Series Round Tables,8/10/10,86053,Critical,55337,Central,2120,8/11/10,Delivery Truck,Minnesota,0.04,1,20,0.76,-88,"5,768",154,296
Tables,Wentzville,Jumbo Box,North America,United States of America,1789,Allan Green,Consumer,Furniture,BPI Conference Tables,12/24/11,88261,Critical,63385,Central,7186,12/25/11,Delivery Truck,Missouri,0.03,1,6,0.71,-334,896,80,146
Chairs  and  Chairmats,Merrillville,Jumbo Drum,North America,United States of America,1464,Evelyn Galloway,Consumer,Furniture,Hon GuestStacker Chair,2/12/11,86398,Critical,46410,Central,3874,2/14/11,Delivery Truck,Indiana,0.03,1,6,0.59,934,"1,353",28,227
Chairs  and  Chairmats,Hopkins,Jumbo Drum,North America,United States of America,1522,Earl Watts,Consumer,Furniture,"Global High-Back Leather Tilter, Burgundy",12/14/10,89957,Critical,55305,Central,3293,12/15/10,Delivery Truck,Minnesota,0.1,1,17,0.74,-900,"2,027",70,123
Chairs  and  Chairmats,Bedford,Jumbo Drum,North America,United States of America,890,Billie Fowler,Consumer,Furniture,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1/5/13,89549,Critical,76021,Central,11378,1/7/13,Delivery Truck,Texas,0.06,1,8,0.64,"-1,685",180,53,21
Chairs  and  Chairmats,Sun Prairie,Jumbo Drum,North America,United States of America,3228,Thomas Frazier,Consumer,Furniture,Global Troy Executive Leather Low-Back Tilter,2/6/12,87439,Critical,53590,Central,7670,2/7/12,Delivery Truck,Wisconsin,0.01,1,11,0.6,"3,764","5,456",126,501
Chairs  and  Chairmats,Janesville,Jumbo Drum,North America,United States of America,2335,Kent Young,Consumer,Furniture,Hon Valutask Swivel Chairs,9/10/12,89615,Critical,53545,Central,10028,9/12/12,Delivery Truck,Wisconsin,0.03,1,1,0.69,-181,125,45,101
Tables,Eden Prairie,Jumbo Drum,North America,United States of America,2447,Gladys Everett,Consumer,Furniture,Hon Non-Folding Utility Tables,5/3/11,87791,Critical,55343,Central,4624,5/4/11,Delivery Truck,Minnesota,0.05,1,1,0.55,-215,174,60,159
