"Category","City","Container","Customer_ID","Customer_Name","Customer_Segment","Department","Item","Order_Date","Order_ID","Order_Priority","Postal_Code","Region","Row_ID","Ship_Date","Ship_Mode","State","Discount","Gross_Profit_Ratio","Number_of_Records","Order_Quantity","Product_Base_Margin","Profit","Sales","Shipping_Cost","Unit_Price"
"Labels","Addison","Small Box","2","Janice Fletcher","Corporate","Office Supplies","Avery 49","2012-05-28","88525","Not Specified","60101","Central","18606","2012-05-30","Regular Air","Illinois","1.00%","22.40%","1","2","36.00%","$1 ","$6 ","$1 ","$3 "
"Pens  and  Art Supplies","Anacortes","Wrap Bag","3","Bonnie Potter","Corporate","Office Supplies","SANFORD Liquid Accent Tank-Style Highlighters","2010-07-07","88522","High","98221","West","20847","2010-07-08","Express Air","Washington","1.00%","35.00%","1","4","54.00%","$5 ","$13 ","$1 ","$3 "
"Paper","Anacortes","Small Box","3","Bonnie Potter","Corporate","Office Supplies","Xerox 1968","2011-07-27","88523","Not Specified","98221","West","23086","2011-07-28","Express Air","Washington","3.00%","-95.40%","1","7","37.00%","($48)","$50 ","$6 ","$7 "
"Scissors, Rulers and Trimmers","Anacortes","Small Pack","3","Bonnie Potter","Corporate","Office Supplies","Acme Preferred Stainless Steel Scissors","2011-07-27","88523","Not Specified","98221","West","23087","2011-07-28","Regular Air","Washington","1.00%","-73.30%","1","7","56.00%","($31)","$42 ","$4 ","$6 "
"Telephones and Communication","Anacortes","Small Box","3","Bonnie Potter","Corporate","Technology","V70","2011-07-27","88523","Not Specified","98221","West","23088","2011-07-27","Express Air","Washington","0.00%","69.00%","1","8","59.00%","$998 ","$1,447 ","$3 ","$206 "
"Paper","Anacortes","Small Box","3","Bonnie Potter","Corporate","Office Supplies","Xerox 194","2011-11-09","88524","Medium","98221","West","23597","2011-11-11","Express Air","Washington","9.00%","69.00%","1","37","37.00%","$1,388 ","$2,012 ","$14 ","$55 "
"Office Machines","Anacortes","Jumbo Drum","3","Bonnie Potter","Corporate","Technology","Canon S750 Color Inkjet Printer","2013-07-01","88526","Low","98221","West","25549","2013-07-08","Delivery Truck","Washington","8.00%","69.00%","1","12","38.00%","$1,001 ","$1,451 ","$26 ","$121 "
"Chairs  and  Chairmats","San Gabriel","Jumbo Drum","5","Ronnie Proctor","Home Office","Furniture","Global Troy Executive Leather Low-Back Tilter","2010-12-13","90193","Not Specified","91776","West","20228","2010-12-15","Delivery Truck","California","2.00%","69.00%","1","12","60.00%","$4,390 ","$6,363 ","$26 ","$501 "
"Paper","San Gabriel","Small Box","5","Ronnie Proctor","Home Office","Office Supplies","Xerox 1930","2012-05-12","90197","Low","91776","West","19483","2012-05-21","Regular Air","California","8.00%","-124.70%","1","18","36.00%","($141)","$113 ","$7 ","$6 "
"Appliances","San Jose","Small Box","6","Dwight Hwang","Home Office","Office Supplies","Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center","2011-05-26","90194","High","95123","West","24782","2011-05-26","Regular Air","California","1.00%","69.00%","1","16","56.00%","$1,045 ","$1,515 ","$1 ","$90 "
"Paper","San Jose","Small Box","6","Dwight Hwang","Home Office","Office Supplies","Xerox 21","2012-12-29","90200","Critical","95123","West","24563","2012-12-31","Regular Air","California","7.00%","-48.40%","1","4","37.00%","($14)","$29 ","$7 ","$6 "
"Pens  and  Art Supplies","San Jose","Wrap Bag","6","Dwight Hwang","Home Office","Office Supplies","*Staples* Highlighting Markers","2012-12-29","90200","Critical","95123","West","24564","2012-12-31","Regular Air","California","1.00%","69.00%","1","17","52.00%","$58 ","$83 ","$1 ","$5 "
"Telephones and Communication","San Jose","Wrap Bag","6","Dwight Hwang","Home Office","Technology","Accessory34","2012-12-29","90200","Critical","95123","West","24565","2012-12-31","Regular Air","California","10.00%","69.00%","1","24","55.00%","$1,177 ","$1,705 ","$1 ","$86 "
"Paper","Fall River","Small Box","7","Leon Gill","Home Office","Office Supplies","Xerox 1933","2012-10-30","90198","High","2724","East","21866","2012-10-31","Regular Air","Massachusetts","5.00%","31.30%","1","19","38.00%","$73 ","$233 ","$5 ","$12 "
"Bookcases","Bedford","Jumbo Box","8","Melanie Garner","Home Office","Furniture","Sauder Forest Hills Library, Woodland Oak Finish","2012-12-25","90199","Medium","3110","East","20876","2012-12-26","Delivery Truck","New Hampshire","8.00%","-22.50%","1","5","77.00%","($159)","$705 ","$36 ","$141 "
"Tables","Camden","Jumbo Box","9","Lorraine Houston","Home Office","Furniture","Riverside Furniture Stanwyck Manor Table Series","2012-12-25","90199","Medium","8101","East","20877","2012-12-27","Delivery Truck","New Jersey","10.00%","-19.30%","1","8","78.00%","($347)","$1,794 ","$62 ","$287 "
"Envelopes","Pennsauken","Small Box","10","Meredith Norris Thomas","Home Office","Office Supplies","Park Ridge Embossed Executive Business Envelopes","2011-10-04","90195","Critical","8109","East","22241","2011-10-05","Regular Air","New Jersey","6.00%","69.00%","1","14","38.00%","$143 ","$207 ","$1 ","$16 "
