"Category","City","Container","Continent","Country_Region","Customer_Name","Customer_Segment","Department","Item","Order_Date","Order_Priority","Postal_Code","Region","Ship_Date","Ship_Mode","State","Customer_ID","Discount","Number_of_Records","Order_ID","Order_Quantity","Product_Base_Margin","Profit","Sales","Shipping_Cost","Unit_Price"
"Storage and Organization","Suva","Small Box","Australasia","Fiji","Joy Corbett","Small Business","Office Supplies","Perma STOR-ALL Hanging File Box, 13 1/8W x 12 1/4D x 10 1/2H","1/1/10","High","","International","1/2/10","Regular Air","Central","1,656","10.00","1","28,774","32","68.00","179","180","5","-6.1"
"Storage and Organization","Bowie","Large Box","North America","United States of America","Anita Hahn","Home Office","Office Supplies","Safco Industrial Wire Shelving","1/1/10","Not Specified","20715","East","1/3/10","Express Air","Maryland","2,211","8.00","1","88,028","2","","425","194","35","96"
"Chairs and Chairmats","New York City","Jumbo Drum","North America","United States of America","Scott Bunn","Corporate","Furniture","Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs","1/2/10","Low","10177","East","1/2/10","Delivery Truck","New York","68","0.00","1","37,537","4","56.00","309","1,239","49","292"
"Paper","Osaka","Wrap Bag","Asia","Japan","Marjorie Bailey","Consumer","Office Supplies","White GlueTop Scratch Pads","1/2/10","Critical","","International","1/2/10","Regular Air","_saka","1,154","8.00","1","44,069","43","39.00","99","615","2","15"
"Paper","Montebello","Wrap Bag","North America","United States of America","Alex Nicholson","Consumer","Office Supplies","White GlueTop Scratch Pads","1/2/10","Critical","90640","West","1/2/10","Regular Air","California","1,155","8.00","1","90,853","11","39.00","109","157","2","15"
"Chairs and Chairmats","New York City","Jumbo Drum","North America","United States of America","Scott Bunn","Corporate","Furniture","Hon Valutask Swivel Chairs","1/2/10","Low","10177","East","1/4/10","Delivery Truck","New York","68","7.00","1","37,537","43","69.00","1,680","4,083","45","101"
"Paper","Osaka","Wrap Bag","Asia","Japan","Marjorie Bailey","Consumer","Office Supplies","Black Print Carbonless Snap-Off Rapid Letter, 8 1/2 x 7","1/2/10","Critical","","International","1/4/10","Express Air","_saka","1,154","9.00","1","44,069","16","40.00","11","138","2","9"
"Paper","Montebello","Wrap Bag","North America","United States of America","Alex Nicholson","Consumer","Office Supplies","Black Print Carbonless Snap-Off Rapid Letter, 8 1/2 x 7","1/2/10","Critical","90640","West","1/4/10","Express Air","California","1,155","9.00","1","90,853","4","40.00","20","34","2","9"
"Binders and Binder Accessories","Prior Lake","Small Box","North America","United States of America","Jane Shah","Consumer","Office Supplies","Avery Trapezoid Ring Binder, 3 Capacity, Black, 1040 sheets","1/2/10","Critical","55372","Central","1/4/10","Regular Air","Minnesota","950","6.00","1","89,083","1","36.00","15","42","3","41"
"Binders and Binder Accessories","Los Angeles","Small Box","North America","United States of America","Ernest Oh","Consumer","Office Supplies","Avery Trapezoid Ring Binder, 3 Capacity, Black, 1040 sheets","1/2/10","Critical","90049","West","1/4/10","Regular Air","California","949","6.00","1","9,285","3","36.00","19","125","3","41"
"Storage and Organization","New York City","Small Box","North America","United States of America","Scott Bunn","Corporate","Office Supplies","Dual Level, Single-Width Filing Carts","1/2/10","Low","10177","East","1/9/10","Regular Air","New York","68","5.00","1","37,537","32","59.00","575","4,902","7","155"
"Storage and Organization","Napa","Small Box","North America","United States of America","Ellen McCormick","Corporate","Office Supplies","Dual Level, Single-Width Filing Carts","1/2/10","Low","94559","West","1/9/10","Regular Air","California","67","5.00","1","87,946","8","59.00","846","1,226","7","155"
"Tables","Osaka","Jumbo Box","Asia","Japan","Annie Rouse","Home Office","Furniture","Bush Advantage Collection Round Conference Table","1/3/10","High","","International","1/4/10","Delivery Truck","_saka","2,576","9.00","1","40,354","4","64.00","149","698","52","213"
"Tables","Phenix City","Jumbo Box","North America","United States of America","Marshall Sutherland","Home Office","Furniture","Bush Advantage Collection Round Conference Table","1/3/10","High","36869","South","1/4/10","Delivery Truck","Alabama","2,579","9.00","1","88,296","1","64.00","274","175","52","213"
"Office Furnishings","Abidjan","Medium Box","Africa","Cte-dIvoire","Wade Barber","Home Office","Furniture","36X48 HARDFLOOR CHAIRMAT","1/3/10","High","","International","1/4/10","Regular Air","R_gion des Lagunes","1,987","5.00","1","9,762","12","78.00","234","263","21","21"
"Office Furnishings","Draper","Medium Box","North America","United States of America","Anna Burgess","Home Office","Furniture","36X48 HARDFLOOR CHAIRMAT","1/3/10","High","84020","West","1/4/10","Regular Air","Utah","1,988","5.00","1","89,999","3","78.00","181","66","21","21"
"Binders and Binder Accessories","Osaka","Small Box","Asia","Japan","Annie Rouse","Home Office","Office Supplies","Avery Heavy-Duty EZD  Binder With Locking Rings","1/3/10","High","","International","1/4/10","Regular Air","_saka","2,576","3.00","1","40,354","29","37.00","5","173","3","6"
"Pens and Art Supplies","Lake Oswego","Wrap Bag","North America","United States of America","Ron Newton","Home Office","Office Supplies","Dixon Prang Watercolor Pencils, 10-Color Set with Brush","1/3/10","High","97035","West","1/4/10","Regular Air","Oregon","114","3.00","1","89,583","7","44.00","19","30","1","4"
"Pens and Art Supplies","Seattle","Wrap Bag","North America","United States of America","Linda Weiss","Home Office","Office Supplies","Dixon Prang Watercolor Pencils, 10-Color Set with Brush","1/3/10","High","98103","West","1/4/10","Regular Air","Washington","117","3.00","1","7,909","29","44.00","10","122","1","4"
"Paper","Kearney","Small Box","North America","United States of America","Roger Schwartz","Corporate","Office Supplies","Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)","1/3/10","Critical","68847","Central","1/5/10","Regular Air","Nebraska","388","3.00","1","90,337","4","40.00","52","23","6","5"
"Office Machines","Layton","Jumbo Drum","North America","United States of America","Danny Hong","Corporate","Technology","Panasonic KX-P2130 Dot Matrix Printer","1/3/10","Not Specified","84041","West","1/5/10","Delivery Truck","Utah","193","0.00","1","90,430","1","59.00","561","224","15","213"
"Computer Peripherals","Baton Rouge","Small Box","North America","United States of America","Janice Cole","Corporate","Technology","Fellowes Mobile Numeric Keypad, Graphite","1/3/10","Low","70802","South","1/5/10","Regular Air","Louisiana","169","8.00","1","87,463","3","66.00","280","131","17","43"
"Telephones and Communication","Kearney","Small Box","North America","United States of America","Roger Schwartz","Corporate","Technology","T18","1/3/10","Critical","68847","Central","1/6/10","Regular Air","Nebraska","388","1.00","1","90,337","2","57.00","264","189","3","111"
"Paper","Baton Rouge","Wrap Bag","North America","United States of America","Janice Cole","Corporate","Office Supplies","Staples Wirebound Steno Books, 6 x 9, 12/Pack","1/3/10","Low","70802","South","1/7/10","Regular Air","Louisiana","169","4.00","1","87,463","3","36.00","25","31","2","10"
"Office Machines","Beijing","Large Box","Asia","China","Mary Washington Hudson","Corporate","Technology","Polycom ViaVideo Desktop Video Communications Unit","1/3/10","Low","","International","1/10/10","Regular Air","Beijing","168","5.00","1","9,637","49","37.00","5,776","28,359","24","575"
"Office Machines","Baton Rouge","Large Box","North America","United States of America","Janice Cole","Corporate","Technology","Polycom ViaVideo Desktop Video Communications Unit","1/3/10","Low","70802","South","1/10/10","Regular Air","Louisiana","169","5.00","1","87,463","12","37.00","112","6,945","24","575"
"Chairs and Chairmats","Bryan","Jumbo Drum","North America","United States of America","Carol Sherrill","Home Office","Furniture","Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat","1/4/10","High","77803","Central","1/5/10","Delivery Truck","Texas","915","6.00","1","86,356","1","61.00","489","347","30","351"
"Chairs and Chairmats","Mexico City","Jumbo Drum","North America","Mexico","Nathan McClure","Home Office","Furniture","Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat","1/4/10","High","","International","1/5/10","Delivery Truck","Distrito Federal","912","6.00","1","49,730","3","61.00","632","1,040","30","351"
"Binders and Binder Accessories","Pharr","Small Box","North America","United States of America","Maureen Stout","Corporate","Office Supplies","Cardinal Poly Pocket Divider Pockets for Ring Binders","1/4/10","Critical","78577","Central","1/5/10","Regular Air","Texas","3,146","3.00","1","85,850","4","40.00","94","15","6","3"
"Binders and Binder Accessories","Hyderabad","Small Box","Asia","India","Judith Townsend","Corporate","Office Supplies","Cardinal Poly Pocket Divider Pockets for Ring Binders","1/4/10","Critical","","International","1/5/10","Regular Air","State of Andhra Pradesh","3,144","3.00","1","8,710","17","40.00","122","63","6","3"
"Paper","Pharr","Wrap Bag","North America","United States of America","Maureen Stout","Corporate","Office Supplies","While you Were Out Message Book, One Form per Page","1/4/10","Critical","78577","Central","1/6/10","Express Air","Texas","3,146","7.00","1","85,850","11","35.00","6","40","2","4"
